voter,team,bias1-a,bias1-b,bias1-c,bias2-a,bias2-b,bias2-c,bias3-a,bias3-b,bias3-c,bias0-ap,bias0-mean
adam-jude,oklahoma-state-cowboys,3.5071400000000006,-1.4739800000000003,7.25492,-5.40482,-3.733800000000001,-1.0619,-6.09752,-4.307519999999999,-2.4130000000000003,6.4,-3.4991999999999996
adam-jude,clemson-tigers,-1.7483599999999995,-11.95318,8.141899999999998,-83.88358000000001,-77.98053999999999,-88.36692000000001,-80.39748,-75.5649,-83.99186,1.8,-26.613400000000002
adam-jude,ucf-knights,-14.313233333333335,-10.099400000000001,-0.25356666666666666,-15.7646,-8.231333333333334,-12.405999999999999,-16.883266666666668,-9.319433333333334,-12.174866666666667,5.0,-9.196666666666667
adam-jude,utah-utes,-16.38942,-22.64828,-8.223659999999999,-19.351580000000002,-24.41988,-13.57114,-19.84366,-24.33348,-13.9228,-32.4,-31.851599999999998
adam-jude,west-virginia-mountaineers,-4.58685,-1.1052999999999997,-2.63545,-14.168950000000002,-9.813075000000001,-12.961750000000002,-13.752175,-10.013300000000001,-11.79035,-4.25,-17.15425
adam-jude,marshall-thundering-herd,-1.0249,-13.6364,0.7768,-1.3185,0.6543,-1.6003,-4.132,0.0,-4.7223,-2.0,-1.842
adam-jude,virginia-tech-hokies,4.880775,-0.3510250000000006,2.3521,-2.8069499999999996,-8.6958,-0.02932499999999999,-1.2624500000000003,-6.78285,-0.10514999999999997,1.25,-7.146999999999999
adam-jude,east-carolina-pirates,13.5234,21.4912,5.5556,3.7994,8.7336,-1.1348,3.631,9.6429,-2.381,10.0,3.176
adam-jude,duke-blue-devils,0.1288,2.27275,-0.9621,2.78275,-0.47825,3.8209500000000003,1.12385,-2.1739,2.6060999999999996,0.0,2.471
adam-jude,colorado-state-rams,-4.881,0.0,-4.881,-5.9651,0.0,-5.9651,-4.881,0.0,-4.881,-2.0,-2.438
adam-jude,byu-cougars,-2.6856750000000007,1.8597749999999995,-4.54545,-5.6912,-2.8503,-2.8409,-7.873200000000001,-5.0323,-2.8409,1.25,0.17574999999999996
adam-jude,louisville-cardinals,1.0153333333333332,-0.6489999999999997,6.282800000000001,-19.137966666666667,-19.198133333333335,-9.0421,-18.757666666666665,-19.421533333333333,-8.027966666666666,3.6666666666666665,-12.651333333333334
adam-jude,minnesota-golden-gophers,-5.5556,0.0,-5.5556,-1.7119,0.0,-1.7119,-3.0303,0.0,-3.0303,-4.0,-1.11
adam-jude,texas-tech-red-raiders,-10.342566666666666,-10.342566666666666,0.0,-5.0693,-5.0693,0.0,-6.949966666666666,-6.949966666666666,0.0,-3.3333333333333335,-1.6133333333333333
adam-jude,penn-state-nittany-lions,12.86955,10.8827,13.318874999999998,-6.87975,-6.101299999999999,-5.79345,-5.689,-3.7852249999999996,-4.689625,17.5,0.5960000000000001
adam-jude,washington-huskies,-8.726725,-10.3113,-6.0905249999999995,-33.39595,-39.69205,-27.929825,-31.129425,-37.455175000000004,-25.651575,-3.25,-30.087
adam-jude,iowa-hawkeyes,3.490375,2.41705,3.96145,-6.206525,-4.6107,-9.189250000000001,-6.293,-5.9802,-8.736699999999999,2.25,-4.9115
adam-jude,air-force-falcons,-4.0,0.0,-4.0,8.6957,0.0,8.6957,4.1667,0.0,4.1667,-1.0,2.0
adam-sparks,florida-state-seminoles,16.4706,6.25,25.5556,-154.5208,-238.9042,-79.5133,-131.7647,-195.8333,-74.8148,3.0,-36.205
adam-sparks,mississippi-state-bulldogs,-0.4274,18.4524,-8.8183,-111.1724,-59.1669,-134.2859,-98.4982,-51.6667,-119.3122,-1.0,-30.935
adam-sparks,alabama-crimson-tide,29.1317,95.2381,-29.6296,-96.2438,-1.5837,-180.3861,-92.9412,5.625,-180.5556,17.0,-28.851
adam-sparks,ohio-state-buckeyes,4.9797,3.2741,6.4957,-27.0519,-15.3957,-37.4129,-27.6783,-15.1556,-38.8095,5.0,-29.418
adam-sparks,auburn-tigers,-50.9581,-118.75,9.3013,-113.7344,-217.4479,-21.5446,-110.7325,-216.6667,-16.5688,-14.0,-51.275
adam-sparks,ole-miss-rebels,-6.4988,-1.9792,-10.5163,-38.9411,-37.8707,-39.8927,-35.9206,-32.5054,-38.9562,-7.0,-47.587
adam-sparks,oregon-ducks,18.4314,43.75,-4.0741,-53.7938,-37.7986,-68.0117,-48.5994,-28.6905,-66.2963,3.0,-34.83
adam-sparks,oklahoma-sooners,15.3456,12.0833,20.5651,-13.7326,-27.3829,8.108,-12.0513,-24.7917,8.3333,21.0,-3.769
adam-sparks,texas-am-aggies,-62.9464,-70.7483,-8.3333,-101.6103,-116.648,3.6538,-103.125,-117.8571,0.0,-19.0,-28.801
adam-sparks,notre-dame-fighting-irish,-3.5584,-4.3122,-2.3523,-35.1735,-43.1786,-22.3655,-30.733,-37.0693,-20.5948,2.0,-28.285
adam-sparks,georgia-bulldogs,1.3803,-14.8422,15.8003,-23.541,-42.4353,-6.7461,-22.4378,-41.4792,-5.512,9.0,-29.719
adam-sparks,tcu-horned-frogs,11.1616,26.3889,7.7778,-21.0727,6.7491,-27.2553,-21.7021,9.0909,-28.545,8.0,-12.315
adam-sparks,baylor-bears,-6.4146,14.2857,-24.8148,-41.0066,-15.4833,-63.694,-38.7624,-14.5576,-60.2778,-6.0,-41.087
adam-sparks,south-carolina-gamecocks,-28.0066,-28.0066,0.0,-35.6832,-35.6832,0.0,-36.6557,-36.6557,0.0,-21.0,-22.088
adam-sparks,lsu-tigers,-7.25,-12.942,0.3392,-12.8628,-18.7469,-5.0173,-15.4835,-20.784,-8.4162,-8.0,-14.09
adam-sparks,arizona-state-sun-devils,16.0028,20.2919,12.1904,0.2517,11.5512,-9.7924,1.3233,12.7348,-8.8203,42.0,10.377
adam-sparks,michigan-state-spartans,40.2329,53.858,28.1217,6.1415,16.0405,-2.6575,8.911,19.8878,-0.8462,60.0,15.316
adam-sparks,clemson-tigers,-4.4116,-31.131,10.8566,-12.7767,-38.2867,1.8005,-15.0644,-41.6423,0.123,1.0,-11.817
adam-sparks,ucla-bruins,-8.3546,-7.6802,-8.9541,-26.2279,-29.2571,-23.5353,-23.6943,-25.201,-22.355,-24.0,-50.991
adam-sparks,arizona-wildcats,-16.4349,-11.6667,-17.4946,-33.9976,-28.2939,-35.2651,-34.1837,-29.5455,-35.2144,-19.0,-40.126
adam-sparks,georgia-tech-yellow-jackets,3.231,-13.73,14.5384,-4.5942,-8.0005,-2.3233,-5.7154,-11.7849,-1.6691,0.0,-6.525
adam-sparks,usc-trojans,-4.1527,-8.1059,6.3889,-12.3318,-17.9879,2.7511,-13.0442,-17.8593,-0.2039,-4.0,-14.449
adam-sparks,stanford-cardinal,0.9479,0.9479,0.0,-14.2265,-14.2265,0.0,-15.1381,-15.1381,0.0,2.0,-10.939
adam-sparks,kansas-state-wildcats,11.4374,0.0,11.4374,-5.2237,0.0,-5.2237,-4.9041,0.0,-4.9041,11.0,-5.821
adam-sparks,virginia-tech-hokies,-29.2727,-29.2727,0.0,-26.3603,-26.3603,0.0,-24.0812,-24.0812,0.0,-7.0,-4.708
adam-sparks,nebraska-cornhuskers,-33.2858,-47.702,-10.2198,-38.0555,-45.9686,-25.3944,-38.3872,-47.698,-23.4898,-62.0,-69.593
adam-sparks,wisconsin-badgers,8.3333,31.746,-5.7143,-6.6493,16.3197,-20.4306,-5.1542,15.6746,-17.6515,13.0,-2.782
adam-sparks,duke-blue-devils,-30.6384,-26.3889,-31.5827,-22.2761,-14.8125,-23.9347,-24.0587,-17.7083,-25.4699,-60.0,-41.165
adam-sparks,missouri-tigers,-10.0667,-10.6349,-9.5796,-11.3692,-5.6557,-16.2665,-12.7813,-7.5661,-17.2514,-25.0,-23.798
adam-sparks,marshall-thundering-herd,-21.3322,-19.3935,-22.1939,-16.3996,-2.9806,-22.3636,-18.2625,-2.9016,-25.0896,-50.0,-34.585
adam-sparks,louisville-cardinals,-11.4817,-25.6441,9.7619,-9.1744,-18.4532,4.7436,-13.0669,-23.2941,2.2739,-10.0,-7.162
adam-sparks,east-carolina-pirates,-10.6873,-9.1289,-14.5833,-15.0375,-12.1994,-22.1326,-15.3975,-12.112,-23.6111,-14.0,-18.486
adam-sparks,boise-state-broncos,0.0,0.0,0.0,-0.9801,0.0,-0.9801,-2.8518,0.0,-2.8518,0.0,-0.413
adam-sparks,utah-utes,12.1393,0.0,12.1393,5.0292,0.0,5.0292,5.4609,0.0,5.4609,12.0,5.645
adam-sparks,byu-cougars,-3.7463,-3.7463,0.0,-1.1935,-1.1935,0.0,-4.985,-4.985,0.0,-3.0,-0.478
adam-sparks,oklahoma-state-cowboys,25.1389,25.1389,0.0,25.5466,25.5466,0.0,28.2135,28.2135,0.0,11.0,13.847
adam-sparks,colorado-state-rams,-1.0,0.0,-1.0,0.6541,0.0,0.6541,-0.0453,0.0,-0.0453,-1.0,0.673
adam-sparks,washington-huskies,-8.8182,-8.8182,0.0,3.2828,3.2828,0.0,3.2828,3.2828,0.0,-4.0,1.5
adam-sparks,minnesota-golden-gophers,4.5455,0.0,4.5455,-1.6652,0.0,-1.6652,-4.3478,0.0,-4.3478,1.0,-0.383
adam-sparks,texas-longhorns,-6.1667,-6.1667,0.0,7.1236,7.1236,0.0,6.5217,6.5217,0.0,-3.0,3.255
adam-sparks,virginia-cavaliers,-8.3333,-8.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0
adam-sparks,west-virginia-mountaineers,14.5455,0.0,14.5455,10.3284,0.0,10.3284,6.7194,0.0,6.7194,6.0,4.489
adam-sparks,memphis-tigers,-2.0,0.0,-2.0,3.3017,0.0,3.3017,3.1037,0.0,3.1037,-1.0,1.598
adam-zucker,florida-state-seminoles,16.37275,35.91905,-1.5517750000000001,-27.561675,-18.048375,-28.4541125,-24.987537500000002,-14.82695,-26.977275,1.5,-17.815625
adam-zucker,oregon-ducks,-1.9026500000000002,-1.7238,-3.8577400000000006,-27.39266,-29.17643,-25.715870000000002,-25.77747,-25.935859999999998,-25.18043,-0.3,-20.090899999999998
adam-zucker,alabama-crimson-tide,3.5448399999999993,8.56198,0.18871999999999983,-113.17119,-115.50887,-101.23668,-108.58519000000001,-107.69512999999999,-100.43534,2.6,-30.660199999999996
adam-zucker,auburn-tigers,-18.41242857142857,-20.85637142857143,-3.1358285714285725,-47.45277142857143,-53.01047142857143,-18.61265714285714,-45.77001428571428,-51.41315714285714,-18.529028571428572,-0.8571428571428571,-21.376714285714286
adam-zucker,mississippi-state-bulldogs,-0.15014000000000002,-8.55934,4.45552,-23.25608,-20.56982,-25.403460000000003,-21.798579999999998,-21.349719999999998,-22.4314,-1.2,-7.6262
adam-zucker,ohio-state-buckeyes,-13.44305,-9.45138,-13.664079999999998,-100.27518,-103.50111,-82.87111999999999,-97.74055000000001,-101.46265,-79.21232,1.0,-29.7183
adam-zucker,oklahoma-sooners,-5.0503,-7.949330000000001,-1.1568600000000002,-39.58619,-44.4362,-28.57629,-37.29403,-41.50628,-27.502699999999997,1.6,-22.9889
adam-zucker,ole-miss-rebels,0.11964285714285713,-1.5524571428571428,1.1818142857142857,-23.144542857142856,-26.606928571428572,-12.3048,-21.78577142857143,-24.41637142857143,-12.540342857142857,0.5714285714285714,-22.685142857142857
adam-zucker,tcu-horned-frogs,-3.8125999999999998,-1.912566666666667,1.9365333333333332,-32.69688333333333,-28.459000000000003,-23.3373,-30.64415,-25.45468333333333,-21.9808,3.5,-14.397666666666666
adam-zucker,baylor-bears,-2.8309571428571423,-12.186871428571427,6.739314285714286,-30.027357142857145,-43.5144,-16.067157142857145,-27.35168571428571,-41.441599999999994,-12.484757142857145,-0.14285714285714285,-18.168142857142858
adam-zucker,michigan-state-spartans,-9.365728571428573,-6.623228571428571,-5.2913571428571435,-31.428957142857143,-29.790185714285712,-19.802414285714285,-29.56648571428571,-27.33015714285714,-19.63077142857143,-9.428571428571429,-27.512571428571427
adam-zucker,texas-am-aggies,-10.00065,-8.380849999999999,-7.04116,-21.56083,-20.0552,-12.66673,-21.969379999999997,-20.305419999999998,-12.813970000000001,-6.6,-16.1762
adam-zucker,georgia-bulldogs,6.888380000000001,8.59358,5.25718,-87.80010999999999,-84.82708,-65.46218,-81.63566,-77.3649,-63.458420000000004,1.9,-26.426299999999998
adam-zucker,notre-dame-fighting-irish,5.25434,4.9475,5.23717,-25.27304,-24.550060000000002,-21.34423,-23.178099999999997,-22.82277,-18.92491,5.9,-20.847
adam-zucker,arizona-state-sun-devils,-15.858699999999999,-15.5284,-8.10172,-22.906180000000003,-22.054380000000002,-11.74476,-22.695600000000002,-21.744760000000003,-11.75816,-9.8,-17.646
adam-zucker,ucla-bruins,-5.222571428571428,-9.342814285714285,3.3474857142857144,-13.4871,-20.44327142857143,-3.6857428571428565,-13.636514285714286,-20.153914285714286,-3.7605428571428567,-1.1428571428571428,-11.289285714285715
adam-zucker,arizona-wildcats,-4.291079999999999,7.019839999999999,-9.4429,-15.2737,-0.5514399999999998,-16.13882,-16.72856,-0.9982,-17.28462,-0.8,-9.2012
adam-zucker,usc-trojans,-9.10688,-2.9125900000000002,-5.13759,-28.03788,-21.25766,-15.224520000000002,-27.45105,-20.949279999999998,-15.060750000000002,-4.5,-19.0496
adam-zucker,kansas-state-wildcats,-5.16642,-6.9467,-0.6960799999999999,-5.611809999999999,-7.95864,-3.00528,-6.854079999999999,-9.09548,-3.39102,-4.8,-8.1913
adam-zucker,georgia-tech-yellow-jackets,-4.80785,0.8218000000000001,-2.61535,-4.91455,2.435975,-4.694475000000001,-7.021974999999999,-0.7563249999999995,-4.86425,-0.5,-3.279
adam-zucker,south-carolina-gamecocks,-27.1548,-18.516075,-8.638725,-23.408525,-13.984874999999999,-9.42365,-22.9506,-13.54585,-9.40475,-10.5,-9.60025
adam-zucker,lsu-tigers,0.23543999999999973,-0.7704400000000001,2.94236,-27.43091,-18.41534,-26.02008,-26.78853,-18.92396,-24.84615,1.0,-15.511600000000001
adam-zucker,wisconsin-badgers,-1.2119222222222226,7.603555555555555,-5.208755555555556,-17.782944444444443,-12.283844444444444,-17.425011111111115,-18.053122222222225,-11.7896,-18.047733333333333,1.8888888888888888,-14.582333333333331
adam-zucker,missouri-tigers,9.369250000000001,10.52445,-4.148,-6.85785,-0.20542499999999986,-13.40625,-7.651375,-2.0736000000000003,-12.431750000000001,0.25,-11.00675
adam-zucker,byu-cougars,-12.298157142857145,-22.597114285714287,7.353985714285714,-17.0429,-25.92948571428571,0.5877571428571429,-18.533485714285714,-28.318,1.4048571428571428,-6.428571428571429,-14.458857142857143
adam-zucker,nebraska-cornhuskers,0.7695333333333334,1.6890333333333334,-0.09216666666666666,-7.941066666666667,-6.2947,-9.797233333333333,-8.173266666666667,-6.3264,-8.8535,0.3333333333333333,-9.030000000000001
adam-zucker,stanford-cardinal,4.9749799999999995,0.57616,10.26502,-8.83644,-10.30014,-4.4641,-8.52908,-10.56044,-2.8977,6.2,-6.9318
adam-zucker,virginia-tech-hokies,-13.591,-12.12658,-0.57714,-17.84786,-18.607,-2.7981000000000003,-17.731019999999997,-18.4791,-2.72468,-10.4,-15.244
adam-zucker,clemson-tigers,10.36844,15.26551,8.684000000000001,-48.77828,-54.36427,-41.24137,-45.808029999999995,-50.40018,-38.88638,5.9,-17.2664
adam-zucker,oklahoma-state-cowboys,-2.02238,-5.387409999999999,0.08611000000000005,-18.59241,-19.04085,-13.39383,-18.25152,-18.306549999999998,-13.6945,-2.4,-19.9257
adam-zucker,utah-utes,-1.8220444444444448,-8.841166666666666,3.735877777777777,-17.593344444444444,-23.54221111111111,-9.723755555555556,-16.70724444444444,-21.807011111111112,-8.877088888888888,2.888888888888889,-14.341111111111111
adam-zucker,boise-state-broncos,-17.186057142857145,-15.663757142857142,-7.702657142857142,-16.740142857142857,-14.444528571428574,-9.593928571428572,-19.084585714285716,-16.194314285714285,-11.044785714285714,-7.142857142857143,-10.195857142857145
adam-zucker,north-carolina-tar-heels,-0.1344375000000001,-1.5665749999999996,-1.8217374999999998,-10.918625,-8.220400000000001,-10.05395,-11.39565,-8.996625,-10.173662499999999,-2.375,-11.270624999999999
adam-zucker,florida-gators,-2.2682555555555557,0.9060999999999999,-1.2164111111111113,-15.316966666666666,-11.7556,-12.496655555555556,-14.847622222222222,-11.84597777777778,-10.977655555555556,0.5555555555555556,-12.61988888888889
adam-zucker,duke-blue-devils,-5.434033333333335,-4.554233333333333,-0.5531333333333333,-8.1641,-6.6894,-2.4907333333333335,-9.930633333333335,-8.656833333333333,-4.6071,-8.0,-9.791666666666666
adam-zucker,east-carolina-pirates,-5.2778,-7.9167,0.0,-11.569,-14.0253,-6.6563,-11.627,-13.4722,-7.9365,-6.0,-12.861
adam-zucker,minnesota-golden-gophers,-6.98772,-7.40368,-6.20932,-9.25846,-4.70146,-10.094,-11.50418,-8.39824,-9.58294,-6.6,-9.365
adam-zucker,colorado-state-rams,-5.5214,0.0,-5.5214,-2.5609,0.0,-2.5609,-3.0576,0.0,-3.0576,-6.0,-2.327
adam-zucker,louisville-cardinals,-8.159314285714286,-8.686971428571429,-2.6410857142857145,-18.94271428571429,-18.685114285714285,-10.407814285714284,-18.7481,-19.19877142857143,-9.703157142857142,-4.857142857142857,-15.696714285714284
adam-zucker,west-virginia-mountaineers,-15.791599999999999,-1.33588,-15.30916,-13.82592,-2.0054600000000002,-15.43776,-14.719240000000003,-2.93226,-15.486500000000001,-4.2,-7.493599999999999
adam-zucker,memphis-tigers,1.95658,1.3794800000000003,-1.61812,-0.7043799999999998,1.4890599999999998,-4.3727,-1.0488,1.2534799999999997,-4.641679999999999,1.6,-0.9308
adam-zucker,iowa-hawkeyes,-10.75896,-8.39368,-4.80828,-16.70067,-13.87506,-12.87003,-17.52202,-15.07939,-12.92698,-4.6,-12.5816
adam-zucker,arkansas-razorbacks,-16.016579999999998,-10.585899999999999,-9.908800000000001,-21.75358,-21.787979999999997,-6.127840000000001,-23.0083,-22.38458,-7.2127,-12.2,-15.590200000000001
adam-zucker,marshall-thundering-herd,17.57095,1.9176,25.0557,13.438500000000001,5.41755,13.8752,12.7109,4.78605,14.64765,22.0,19.5735
bill-rabinowitz,florida-state-seminoles,35.2941,56.25,16.6667,-134.5696,-171.8208,-101.4574,-112.7451,-137.5,-90.7407,8.0,-31.205
bill-rabinowitz,alabama-crimson-tide,3.3613,-36.6071,38.8889,-117.7702,-160.9453,-79.3923,-111.8627,-146.875,-80.7407,10.0,-35.851
bill-rabinowitz,auburn-tigers,-12.3177,-15.0,-9.6354,-62.5046,-74.9754,-50.0338,-59.1233,-76.6667,-41.5799,-7.0,-43.3
bill-rabinowitz,mississippi-state-bulldogs,2.4887,-19.5411,22.0707,-79.9685,-55.1604,-102.0201,-70.8204,-51.3834,-88.0976,-2.0,-15.531
bill-rabinowitz,ohio-state-buckeyes,-3.1273,5.2922,-9.6759,-39.7739,-17.4655,-57.1249,-40.3264,-16.7758,-58.6436,-3.0,-37.447
bill-rabinowitz,oklahoma-sooners,-18.1489,-33.447,2.2485,-53.0937,-87.6902,-6.9651,-50.7556,-83.4375,-7.1797,-5.0,-29.398
bill-rabinowitz,ole-miss-rebels,-1.0335,-1.5091,-0.6108,-33.0963,-37.3147,-29.3466,-30.9866,-31.9029,-30.1721,3.0,-37.587
bill-rabinowitz,oregon-ducks,10.3782,55.8036,-30.0,-68.5765,-24.5856,-107.6794,-63.9496,-16.5179,-106.1111,2.0,-35.83
bill-rabinowitz,tcu-horned-frogs,-5.9659,-4.4192,-6.4815,-36.8942,-11.6308,-45.3153,-38.5801,-12.0187,-47.4339,-4.0,-21.029
bill-rabinowitz,baylor-bears,3.6835,7.4107,0.3704,-28.3504,-22.8135,-33.2721,-26.2229,-21.944,-30.0265,6.0,-29.087
bill-rabinowitz,michigan-state-spartans,-10.9736,-10.6746,-11.2394,-46.0903,-46.2252,-45.9703,-43.1841,-42.2058,-44.0536,-13.0,-57.684
bill-rabinowitz,notre-dame-fighting-irish,-2.605,0.0061,-7.8274,-36.0202,-34.2613,-39.5379,-30.7946,-28.3744,-35.6349,-1.0,-33.9
bill-rabinowitz,texas-am-aggies,-4.4218,-4.4218,0.0,-30.3908,-30.3908,0.0,-30.6122,-30.6122,0.0,0.0,-12.255
bill-rabinowitz,georgia-bulldogs,14.8993,15.5182,14.3492,-8.0562,-7.8618,-8.229,-6.8965,-6.7783,-7.0016,29.0,-9.719
bill-rabinowitz,lsu-tigers,-3.7171,-9.4375,2.9568,-10.0194,-17.1927,-1.6505,-12.5911,-18.9392,-5.1849,-6.0,-14.376
bill-rabinowitz,ucla-bruins,-0.9207,2.398,-4.2393,-23.9439,-20.9071,-26.9808,-21.1598,-17.0022,-25.3175,-1.0,-35.67
bill-rabinowitz,usc-trojans,1.4496,5.3545,-4.0172,-6.8245,-7.4586,-5.9368,-8.3656,-8.0567,-8.798,4.0,-9.579
bill-rabinowitz,kansas-state-wildcats,4.6915,4.1398,5.1207,-8.0104,-3.4585,-11.5507,-8.1973,-4.2338,-11.2801,11.0,-14.48
bill-rabinowitz,arizona-state-sun-devils,-3.067,-2.66,-3.3835,-19.6985,-13.8927,-24.214,-18.4362,-12.2584,-23.2412,-4.0,-39.023
bill-rabinowitz,wisconsin-badgers,-13.9443,9.1847,-22.6177,-23.7691,-2.2997,-31.8201,-22.8018,-0.4884,-31.1693,-18.0,-30.096
bill-rabinowitz,arizona-wildcats,3.3742,-5.3323,7.2438,-8.0074,-8.6895,-7.7043,-8.2371,-9.4489,-7.6985,4.0,-12.876
bill-rabinowitz,georgia-tech-yellow-jackets,8.0767,-4.7619,10.2165,-5.755,-3.8095,-6.0792,-5.924,-9.5238,-5.3241,7.0,-4.554
bill-rabinowitz,south-carolina-gamecocks,17.2975,17.2975,0.0,0.7542,0.7542,0.0,0.0,0.0,0.0,6.0,0.383
bill-rabinowitz,stanford-cardinal,-5.1269,-5.1269,0.0,-15.6205,-15.6205,0.0,-16.6026,-16.6026,0.0,-7.0,-16.762
bill-rabinowitz,nebraska-cornhuskers,-1.4608,2.6267,-6.3659,-9.6868,-0.303,-20.9473,-9.7365,-1.8711,-19.1749,-2.0,-14.71
bill-rabinowitz,boise-state-broncos,-13.8725,0.0,-13.8725,-12.6129,0.0,-12.6129,-14.2947,0.0,-14.2947,-11.0,-8.413
bill-rabinowitz,virginia-tech-hokies,-21.4286,-21.4286,0.0,-27.2,-27.2,0.0,-21.4286,-21.4286,0.0,-3.0,-3.808
bill-rabinowitz,missouri-tigers,-5.9975,-26.3585,10.2913,-11.6635,-23.0882,-2.5238,-12.9561,-26.1228,-2.4227,-10.0,-16.692
bill-rabinowitz,clemson-tigers,-1.7649,-3.4808,-0.907,-7.3083,-1.5398,-10.1926,-9.9566,-4.8945,-12.4876,-3.0,-12.68
